Source_File,Greek_Word
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,κς
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Θεός
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,ΘΣ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,θς
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,ποιος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,ΟΣ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,ος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Θεός
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Θεού
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,ύ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Θεού
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Θεός
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,ΘΣ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,θς
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Θεού
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,ΘΥ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,θυ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Λόγος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Λόγος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Λόγος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,προς
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,τον
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,θεόν
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,καί
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,θεος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,ήν
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,ό
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,λόγος
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,θεός
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,θεός
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,θεός
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,θεός
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,δαίμων
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,θεός
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Θεός
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,θς
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,θυ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Θεού
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,Θεού
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,θεοϋ
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 12 Excerpts.docx,θεός
