Greek_Word,Word_1,Word_2,Word_3,Word_4,Word_5
ἔχειν,",",meaning,“,to,have
ποιεῖν,[,“,to,do,","
πάσχειν,",",meaning,“,to,suffer
πάσχειν,for,this,category,has,been
Kύριος,(,the,Lord,),.
ᾍδης,),for,the,Underworld,—
ἀρχαῖος,",",meaning,“,ancient,”
πρότερος,for,“,prior,”,or
ζωός,for,“,living,”,or
γένεσις,for,“,birth,",",”
πρό,for,“,before,”,or
κάρυον,for,“,nut,”,or
αρχαίον,or,“,first,”,or
εὖ,",",meaning,“,good,","
κάρυον,for,“,nut,”,or
τρι,for,“,three,”,and
λοβός,for,“,lobe,”,)
ἄρθρον,",",meaning,“,joint,","
πούς,for,“,foot,”,with
ποδής,—,producing,the,meaning,of
φανερός,",",meaning,“,shining,","
ζῷον,for,“,animal,.,”
παλαιός,for,“,ancient,”,or
ζωός,for,“,living,”,or
λαβύρινθος,(,maze,;,especially,an
Δαίδαλος,),-,-,the,skillful
Ἴκαρος,),",",who,flew,too
Μίνως,and,taûros,",",ταῦρος,;
ταῦρος,;,the,Bull,of,Minos
Θησεύς,),",",the,mythical,founder
νόησις,—,are,always,a,recognition
